"","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read.1","writ.1","recv","send","int","csw","X1m","X5m","X15m","run","blk","new","programa","qntReads","qntCPU","tamArq"
"405",76,81.806961038961,13.1714675324675,4.97377922077922,0.0412207792207792,0,0.00654545454545455,1096596812.46753,38139026.2857143,1056456065.66234,6180409503.58442,2835.11337662338,680142.570935065,0.0489350649350649,6.69967532467532,428.103896103896,58.6623376623377,1140.90645454545,2105.03337662338,4.71649350649351,4.77831168831169,3.44779220779221,4.49350649350649,0.012987012987013,193.154909090909,"Trinity",80000,4,8.3
"406",77,81.8742820512821,13.0703974358974,5.00510256410256,0.0470512820512821,0,0.00324358974358974,1089405873.23077,38498776.6153846,1056585097.84615,6187111660.30769,2662.65851282051,668977.97624359,0.0459615384615385,6.50076923076923,423.820512820513,53.0641025641026,1139.86962820513,2090.57248717949,4.86448717948718,4.89,3.795,4.53846153846154,0,191.564576923077,"Trinity",80000,4,8.3
"407",77,81.7515512820513,13.1359615384615,5.04939743589744,0.0502307692307692,0,0.0129358974358974,1087411593.84615,38892570.2564103,1056696897.64103,6188600346.25641,2539.04265384615,672852.249230769,0.0438333333333333,6.69523076923077,430.564102564103,60.6153846153846,1144.40785897436,2111.04476923077,5.30371794871795,5.12782051282051,4.12923076923077,4.52564102564103,0.0512820512820513,192.416384615385,"Trinity",80000,4,8.3
"408",76,81.7857272727273,13.3091558441558,4.85758441558442,0.0377922077922078,0,0.0098051948051948,1106112724.77922,39330855.8961039,1056752041.55844,6169405785.76623,2458.11838961039,679695.482922078,0.0424285714285714,6.74515584415584,427.12987012987,54.3506493506493,1133.9602987013,2112.26123376623,4.66922077922078,4.86935064935065,4.2351948051948,4.49350649350649,0.012987012987013,193.225714285714,"Trinity",80000,4,8.3
"409",77,81.9610769230769,13.0490512820513,4.9399358974359,0.0371666666666667,0,0.0128846153846154,1081293010.05128,39737186.4615385,1056878434.46154,6193692777.02564,2322.80341025641,673134.337474359,0.0401025641025641,6.5065641025641,483.051282051282,67.0897435897436,1143.50233333333,2132.37716666667,5.3451282051282,5.11038461538462,4.47269230769231,4.76923076923077,0,191.560807692308,"Trinity",80000,4,8.3
"410",77,82.1489230769231,13.0013717948718,4.81894871794872,0.0275128205128205,0,0.00326923076923077,1089294125.94872,40146366.3589744,1056999161.4359,6185161754.25641,2227.86225641026,674008.173448718,0.0384615384615385,6.89273076923077,423.653846153846,51.3589743589744,1155.69366666667,2131.55192307692,4.92666666666667,5.05858974358974,4.59615384615385,4.67948717948718,0.0128205128205128,193.034141025641,"Trinity",80000,4,8.3
"411",76,82.1309480519481,13.0441038961039,4.7484025974026,0.0667922077922078,0,0.00981818181818182,1077873358.12987,40546197.6103896,1057033016.51948,6196148835.74026,2168.4651948052,679165.44974026,0.0374285714285714,6.68518181818182,428.376623376623,56.1298701298701,1155.59767532468,2121.63367532468,4.82155844155844,4.99246753246753,4.67116883116883,4.92207792207792,0.012987012987013,193.860038961039,"Trinity",80000,4,8.3
"412",77,82.3121538461538,12.963641025641,4.68396153846154,0.0338589743589744,0,0.00644871794871795,1111535458.46154,40943616,1057190308.10256,6161932025.4359,2060.39530769231,672041.337217949,0.0355641025641026,6.54958974358974,490.217948717949,75.7051282051282,1139.59769230769,2114.16357692308,4.89846153846154,4.9625641025641,4.72564102564103,4.70512820512821,0.0897435897435897,190.56991025641,"Trinity",80000,4,8.3
"413",77,82.0801923076923,13.2990897435897,4.58044871794872,0.0337948717948718,0,0.0065,1127566729.84615,41296817.2307692,1057307831.79487,6145430029.12821,1985.08080769231,672665.52324359,0.0342692307692308,6.83294871794872,423.346153846154,57.7307692307692,1139.51453846154,2088.01776923077,4.88512820512821,4.8948717948718,4.74179487179487,4.56410256410256,0.0769230769230769,190.106743589744,"Trinity",80000,4,8.3
"414",78,82.1941898734177,12.9910632911392,4.76567088607595,0.0396329113924051,0,0.00953164556962025,1069597605.26582,41624018.6329114,1057427767.08861,6202952017.01266,1890.59506329114,667607.282949367,0.0326329113924051,6.86167088607595,423.594936708861,63.1898734177215,1132.77236708861,2083.39570886076,4.63,4.81518987341772,4.74835443037975,4.58227848101266,0.0126582278481013,189.517898734177,"Trinity",80000,4,8.3
